frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
59,5.0,[2241.611336282865 1458.0154758724314 2957.1738404237362 2149.449228660017],[2501.07958984375 1963.75244140625 2700.190673828125 2050.11376953125],0.5949718952178955,WT51VSU,0.12262553693462788
61,6.0,[1079.925416993749 1213.708380325204 1704.3960966494342 1701.6314981296405],[1315.967041015625 1499.8179931640625 1460.4283447265625 1584.6998291015625],0.26607704162597656,GX15OGJ,0.42996927650333433
62,5.0,[2245.8675469784566 1475.9850265991847 2958.4438154121453 2151.835680336201],[2508.080078125 1982.7015380859375 2714.0634765625 2074.182373046875],0.6487957239151001,MT51VSU,0.4013395135302686
64,5.0,[2252.969528322957 1491.1633593023957 2962.9483438279162 2150.222959143539],[2510.244384765625 2001.128173828125 2720.490966796875 2089.055419921875],0.6796735525131226,MT51VSU,0.10742198225384506
67,6.0,[1071.1097594296032 1239.6919194948932 1694.1163773497176 1728.9709866365938],[1296.408447265625 1543.5234375 1472.521484375 1612.837646484375],0.5017345547676086,GX15OGJ,0.10327586924007244
68,6.0,[1069.1705287885502 1245.1067936499578 1693.7155185673969 1735.7891877078566],[1300.9764404296875 1549.13671875 1482.68994140625 1623.99462890625],0.41545236110687256,GX15OGJ,0.27247954930285057
69,6.0,[1069.167648107626 1250.861072861271 1695.0567762090582 1744.3349047526674],[1294.0421142578125 1553.5755615234375 1469.171875 1632.0303955078125],0.5513625741004944,GX15OGJ,0.2556948428814599
70,6.0,[1064.8521680508297 1256.588664031563 1691.4127723462666 1752.0010225486608],[1300.953857421875 1560.7913818359375 1475.129638671875 1637.7652587890625],0.3272796869277954,GX15OGJ,0.3015761402618839
72,5.0,[2271.262505422428 1543.1962732006607 2992.2550584338605 2155.39850573866],[2537.570068359375 2077.09228515625 2743.906494140625 2155.13916015625],0.6067808270454407,MT51VSU,0.7033531584585698
72,6.0,[1053.9169370245718 1263.3545880773509 1686.884871882491 1762.6433611418192],[1285.930419921875 1577.1221923828125 1452.8065185546875 1647.4661865234375],0.5150945782661438,GX15OGJ,0.2502974380666353
75,6.0,[1049.2421068850222 1277.4355173083557 1682.254164813682 1779.5236230238845],[1289.3614501953125 1600.740966796875 1439.14208984375 1665.671630859375],0.5367803573608398,GX15OGJ,0.3936827344807822
76,6.0,[1046.2796275479554 1279.0588250096555 1685.6387087150642 1782.6676761881783],[1278.4967041015625 1599.03515625 1448.9268798828125 1670.969970703125],0.5763678550720215,GX15OGJ,0.35238716568518197
